student_id,student_level,international_status,program_category,semester_stage,semester,program_total_credits,credits,part_time_enrollment,scholarships,financial_aid,area_of_interest,research,academic_advisor,date_of_birth,age,SSN,nationality,place_of_birth,on_campus_work
SSCD_999,Undergraduate,Domestic,Business,Fall,5,120,12,,"In-State, General",Pell Grant,"Corporate Strategy, FinTech, Supply Chain","Dr. Samuel Reed, Dr. Natalie Cooper, Dr. Victor Nguyen",Chris Dawson,2006-05-14,19,394-66-8941,American,Texas,Yes
SSCD_386,Undergraduate,Domestic,Arts,Fall,5,120,9,,"In-State, General",In-State Grant,Digital Media,Dr. Yuna Sato,Jamie Kim,2007-12-20,18,,American,Texas,Yes
SSCD_490,Undergraduate,Domestic,Engineering,Fall,6,120,9,,General,,Embedded Systems,Dr. Miguel Santos,Casey Alvarez,2008-08-24,17,,American,Colorado,No
SSCD_362,Undergraduate,Domestic,Engineering,Fall,1,120,9,,"In-State, General",,Smart Infrastructure,Dr. Daniel Brooks,Casey Alvarez,2008-10-15,17,,American,Texas,No
SSCD_206,Undergraduate,Domestic,General,Fall,5,120,15,,"Veteran, In-State, General","Institutional Grant, In-State Grant",Social Justice,,Quinn Harper,2008-05-01,17,,American,Texas,No
SSCD_770,Undergraduate,International,Data Science,Spring,8,120,9,Yes,General,Not Eligible,Financial Analytics,Dr. Omar Hassan,Jordan Nguyen,2004-08-27,21,724-38-2035,Indian,Hyderabad,Yes
SSCD_814,Undergraduate,International,Business,Fall,3,120,12,No,General,Not Eligible,Corporate Strategy,Dr. Samuel Reed,Chris Dawson,2006-12-31,19,643-75-4176,Indian,Hyderabad,Yes
SSCD_971,Graduate,International,Data Science,Fall,4,36,9,No,General,Not Eligible,"Predictive Modeling, Healthcare Analytics, Financial Analytics","Dr. Aisha Rahman, Dr. Elena Petrova, Dr. Omar Hassan",Dr. Marcus Lin,1998-05-25,27,,Chinese,Shenzhen,No
SSCD_720,Undergraduate,International,Engineering,Fall,1,120,12,No,General,Not Eligible,"Smart Infrastructure, Biomedical Engineering, Renewable Energy","Dr. Daniel Brooks, Dr. Fatima Ali, Dr. Hannah Fischer",Casey Alvarez,2004-08-19,21,991-49-6562,Indian,Bangalore,Yes
SSCD_113,Undergraduate,Domestic,Data Science,Spring,7,120,12,,General,,Financial Analytics,Dr. Omar Hassan,Jordan Nguyen,2006-08-28,19,295-20-4954,American,Georgia,Yes
SSCD_653,Undergraduate,Domestic,Data Science,Fall,4,120,9,,General,,"Healthcare Analytics, Predictive Modeling","Dr. Elena Petrova, Dr. Aisha Rahman",Jordan Nguyen,2005-06-07,20,871-40-3724,American,Ohio,Yes
SSCD_746,Graduate,International,Business,Fall,4,33,6,Yes,General,Not Eligible,Supply Chain,Dr. Victor Nguyen,Dr. Rakesh Iyer,1997-11-19,28,,Bangladeshi,Dhaka,Yes
SSCD_069,Graduate,International,Data Science,Fall,1,36,9,No,General,Not Eligible,"Statistical Learning, Predictive Modeling, Healthcare Analytics","Dr. Benjamin Ortiz, Dr. Aisha Rahman, Dr. Elena Petrova",Dr. Marcus Lin,1998-06-17,27,168-21-2398,Indian,Bangalore,Yes
SSCD_633,Graduate,Domestic,Arts,Spring,3,33,9,,"Merit, In-State, General","Pell Grant, In-State Grant","Cultural Studies, Digital Media",Dr. Yuna Sato,Dr. Leila Haddad,1996-08-29,29,702-38-1117,American,Texas,Yes
SSCD_387,Undergraduate,Domestic,Arts,Fall,4,120,9,,General,,"Film Studies, Creative Writing, Visual Design","Dr. Leila Haddad, Dr. Marcus Thompson",Jamie Kim,2005-04-29,20,776-20-3573,American,Washington,Yes
SSCD_510,Undergraduate,Domestic,General,Fall,2,120,12,,General,,Environmental Studies,,Quinn Harper,2008-02-27,17,,American,Colorado,No
SSCD_645,Undergraduate,Domestic,Business,Fall,1,120,15,,"In-State, General",,"Entrepreneurship, Marketing Analytics, Supply Chain","Dr. Isabella Rossi, Dr. Andrew Patel, Dr. Victor Nguyen",Chris Dawson,2005-10-28,20,,American,Texas,No
SSCD_703,Graduate,Domestic,Business,Spring,1,33,9,,"In-State, General",,FinTech,Dr. Natalie Cooper,Dr. Rakesh Iyer,2002-04-30,23,954-71-8736,American,Texas,Yes
SSCD_451,Undergraduate,Domestic,General,Fall,8,120,6,,"Alumni, Athlete, Veteran, In-State, General",Work Study,Education Systems,,Quinn Harper,2004-04-29,21,,American,Texas,Yes
SSCD_894,Undergraduate,International,Engineering,Fall,7,120,12,No,"Merit, General",Not Eligible,"Embedded Systems, Smart Infrastructure, Renewable Energy","Dr. Miguel Santos, Dr. Daniel Brooks, Dr. Hannah Fischer",Casey Alvarez,2008-07-11,17,,Indian,Hyderabad,No
SSCD_182,Undergraduate,Domestic,Arts,Fall,1,120,9,,"Veteran, In-State, General",Institutional Grant,"Visual Design, Film Studies",Dr. Leila Haddad,Avery Thompson,2008-01-08,17,,American,Texas,No
SSCD_951,Undergraduate,International,Business,Fall,4,120,18,No,"Athlete, General",Not Eligible,Supply Chain,Dr. Victor Nguyen,Chris Dawson,2007-08-14,18,,Indian,Delhi,No
SSCD_789,Graduate,International,Data Science,Fall,2,36,9,No,General,Not Eligible,"Healthcare Analytics, Predictive Modeling, Financial Analytics","Dr. Elena Petrova, Dr. Aisha Rahman, Dr. Omar Hassan",Dr. Marcus Lin,1998-12-17,27,199-40-9807,Indian,Hyderabad,Yes
SSCD_498,Undergraduate,Domestic,General,Fall,7,120,9,,"Merit, In-State, General","Institutional Grant, In-State Grant",Social Justice,,Riley Bennett,2004-08-18,21,383-85-9595,American,Texas,Yes
SSCD_204,Undergraduate,International,General,Fall,8,120,12,No,General,Not Eligible,"Interdisciplinary Research, Community Development, Public Policy",Dr. Ava Greene,Quinn Harper,2008-05-11,17,,Indian,Mumbai,No
SSCD_382,Graduate,Domestic,Engineering,Fall,2,36,9,,General,,Embedded Systems,Dr. Miguel Santos,Dr. Helena Fischer,2002-03-01,23,843-48-9022,American,Washington,Yes
SSCD_981,Undergraduate,Domestic,General,Spring,7,120,12,,"Athlete, In-State, General",Work Study,Environmental Studies,,Quinn Harper,2005-08-12,20,610-47-9337,American,Texas,Yes
SSCD_339,Undergraduate,International,Engineering,Spring,5,120,15,No,General,Not Eligible,"Smart Infrastructure, Renewable Energy, Robotics","Dr. Daniel Brooks, Dr. Hannah Fischer, Dr. Rohan Mehta",Casey Alvarez,2005-07-28,20,,Chinese,Shanghai,No
SSCD_252,Graduate,International,Computer Science,Fall,3,33,9,No,General,Not Eligible,Artificial Intelligence,Dr. Maya Iyer,Dr. Nisha Verma,1996-05-11,29,966-81-6992,Indian,Hyderabad,Yes
SSCD_595,Graduate,Domestic,Business,Fall,2,33,9,,"Alumni, Athlete, In-State, General",Direct Unsubsidized Loan,Entrepreneurship,Dr. Isabella Rossi,Dr. Rakesh Iyer,2003-09-19,22,,American,Texas,No
SSCD_297,Graduate,International,Computer Science,Spring,2,33,9,No,"Athlete, General",Not Eligible,Cybersecurity,Dr. Sofia Alvarez,Dr. Nisha Verma,1998-10-15,27,,Indian,Hyderabad,No
SSCD_973,Undergraduate,Domestic,Engineering,Spring,4,120,12,,"In-State, General",,Robotics,Dr. Rohan Mehta,Casey Alvarez,2004-04-14,21,750-56-3664,American,Texas,Yes
SSCD_765,Undergraduate,Domestic,Data Science,Fall,1,120,12,,"Alumni, In-State, General","State Grant, In-State Grant","Predictive Modeling, Statistical Learning","Dr. Aisha Rahman, Dr. Benjamin Ortiz",Jordan Nguyen,2006-09-03,19,786-44-2169,American,Texas,Yes
SSCD_138,Graduate,Domestic,Arts,Spring,3,33,9,,"Merit, In-State, General","Direct Unsubsidized Loan, In-State Grant","Cultural Studies, Art Therapy, Visual Design",,Dr. Leila Haddad,1996-04-15,29,785-72-4510,American,Texas,Yes
SSCD_660,Undergraduate,Domestic,Data Science,Fall,7,120,12,,"Alumni, In-State, General","Pell Grant, State Grant, Direct Subsidized Loan",Statistical Learning,Dr. Benjamin Ortiz,Jordan Nguyen,2008-05-09,17,,American,Texas,No
SSCD_310,Undergraduate,Domestic,Data Science,Fall,3,120,9,,"Athlete, In-State, General","Work Study, Direct Unsubsidized Loan, State Grant",Predictive Modeling,Dr. Aisha Rahman,Samantha Reed,2006-11-28,19,,American,Texas,No
